,Cluster,Vmag,Brightness,B-V
5174,47tuc,12.39,7.529916078430468e-07,1.39
5176,47tuc,12.436,7.21755556428848e-07,1.3719999999999999
5178,47tuc,12.482999999999999,6.911783656581822e-07,1.287
5180,47tuc,12.565999999999999,6.403097811076569e-07,0.557
5182,47tuc,12.582,6.309430138663624e-07,1.213
5184,47tuc,12.59,6.263111393481961e-07,1.301
5186,47tuc,12.645,5.953743713847228e-07,1.307
5188,47tuc,12.658,5.882881981942295e-07,1.247
5190,47tuc,12.690999999999999,5.706766931084121e-07,1.16
5192,47tuc,12.71,5.607769264435966e-07,1.258
5194,47tuc,12.727,5.520649002261665e-07,1.183
5196,47tuc,12.76,5.355378071655233e-07,1.158
5198,47tuc,12.834000000000001,5.002535001591681e-07,1.2329999999999999
5200,47tuc,12.878,4.803857719237174e-07,1.133
5202,47tuc,12.925999999999998,4.596107055242912e-07,1.183
5204,47tuc,12.975999999999999,4.389248162317795e-07,1.155
5206,47tuc,13.033,4.1647614991454517e-07,1.094
5208,47tuc,13.035,4.1570967865788954e-07,1.053
5210,47tuc,13.052,4.09251364400427e-07,1.185
5212,47tuc,13.088,3.9590422455227894e-07,1.091
5214,47tuc,13.117,3.854696024915399e-07,1.089
5216,47tuc,13.125,3.8263979569430284e-07,1.163
5218,47tuc,13.158,3.711847593216685e-07,0.904
5220,47tuc,13.172,3.6642925193723927e-07,1.043
5222,47tuc,13.208,3.5447869319634457e-07,1.2009999999999998
5224,47tuc,13.337,3.147676820891959e-07,1.139
5226,47tuc,13.375,3.039415934491152e-07,1.112
5228,47tuc,13.388,3.0032406660467677e-07,1.122
5230,47tuc,13.431,2.886623454046175e-07,1.171
5232,47tuc,13.434000000000001,2.878658427842852e-07,1.1179999999999999
5234,47tuc,13.458,2.815724346140225e-07,1.11
5236,47tuc,13.615,2.4366330801925193e-07,0.39799999999999996
5238,47tuc,13.644,2.3724121304887029e-07,1.0170000000000001
5240,47tuc,13.702,2.2490035242003566e-07,0.86
5242,47tuc,13.724,2.203891124812981e-07,1.074
5244,47tuc,13.742,2.1676548708568963e-07,1.052
5246,47tuc,13.796,2.0624818526793989e-07,0.782
5248,47tuc,13.802,2.0511155918203662e-07,1.058
5250,47tuc,13.837,1.9860498081918484e-07,0.9990000000000001
5252,47tuc,13.850999999999999,1.9606051359861261e-07,0.8909999999999999
5254,47tuc,13.859000000000002,1.9462119550331987e-07,0.8590000000000001
5256,47tuc,13.88,1.9089305835675605e-07,0.777
5258,47tuc,13.880999999999998,1.9071732029533648e-07,0.7879999999999999
5260,47tuc,13.884,1.9019107623276208e-07,1.04
5262,47tuc,13.886,1.8984105380474397e-07,1.068
5264,47tuc,13.892999999999999,1.886210403838751e-07,1.328
5266,47tuc,13.905999999999999,1.8637606407355377e-07,0.7929999999999999
5268,47tuc,13.909,1.8586179878829906e-07,1.0090000000000001
5270,47tuc,13.925999999999998,1.8297431753237222e-07,0.841
5272,47tuc,13.933,1.8179843318812764e-07,0.852
5274,47tuc,13.935,1.8146385634964048e-07,0.8190000000000001
5276,47tuc,13.94,1.8063010566393167e-07,0.8270000000000001
5278,47tuc,13.940999999999999,1.8046381577954976e-07,0.84
5280,47tuc,13.947000000000001,1.7946928639588397e-07,0.7909999999999999
5282,47tuc,13.950999999999999,1.788093135716214e-07,0.77
5284,47tuc,13.952,1.7864469992667569e-07,0.927
5286,47tuc,13.96,1.7733323468304718e-07,1.005
5288,47tuc,13.968,1.7603139715905427e-07,1.171
5290,47tuc,13.972000000000001,1.7538406668443603e-07,0.767
5292,47tuc,13.978,1.7441753160929694e-07,0.938
5294,47tuc,13.98,1.7409653837916172e-07,0.7340000000000001
5296,47tuc,13.985,1.732966374447657e-07,0.75
5298,47tuc,13.993,1.7202443336068268e-07,1.06
5300,47tuc,13.994000000000002,1.718660659444134e-07,0.755
5302,47tuc,13.997,1.713918379266271e-07,0.825
5304,47tuc,14.001,1.7076156877248057e-07,0.727
5306,47tuc,14.005,1.7013361734367856e-07,0.7040000000000001
5308,47tuc,14.008,1.6966416965097466e-07,0.8240000000000001
5310,47tuc,14.009,1.6950797511711583e-07,0.8109999999999999
5312,47tuc,14.01,1.693519243775096e-07,0.843
5314,47tuc,14.014000000000001,1.6872915671586482e-07,0.835
5316,47tuc,14.014000000000001,1.6872915671586482e-07,0.833
5318,47tuc,14.015,1.685738229642789e-07,0.835
5320,47tuc,14.017000000000001,1.6826358433488054e-07,1.02
5322,47tuc,14.023,1.673362899734096e-07,0.878
5324,47tuc,14.026,1.6687456091327334e-07,0.86
5326,47tuc,14.027000000000001,1.667209345211579e-07,0.965
5328,47tuc,14.027999999999999,1.665674495590382e-07,0.8029999999999999
5330,47tuc,14.035,1.65497003942196e-07,0.8009999999999999
5332,47tuc,14.038,1.6504035000240944e-07,0.774
5334,47tuc,14.038,1.6504035000240944e-07,0.9570000000000001
5336,47tuc,14.040999999999999,1.645849561024776e-07,0.77
5338,47tuc,14.044,1.6413081876558613e-07,0.9740000000000001
5340,47tuc,14.046,1.638287569189692e-07,0.735
5342,47tuc,14.050999999999998,1.6307603215510865e-07,0.804
5344,47tuc,14.057,1.6217732620095754e-07,0.784
5346,47tuc,14.058,1.620280241301639e-07,0.872
5348,47tuc,14.058,1.620280241301639e-07,0.7809999999999999
5350,47tuc,14.061,1.615809421056415e-07,0.767
5352,47tuc,14.062000000000001,1.6143218907201877e-07,0.825
5354,47tuc,14.062000000000001,1.6143218907201877e-07,1.04
5356,47tuc,14.065,1.609867511281766e-07,0.828
5358,47tuc,14.065999999999999,1.6083854511271922e-07,0.858
5360,47tuc,14.07,1.6024708419480895e-07,0.823
5362,47tuc,14.071,1.6009955912413858e-07,0.75
5364,47tuc,14.077,1.5921725640227124e-07,0.779
5366,47tuc,14.081,1.5863175754344486e-07,0.8
5368,47tuc,14.081,1.5863175754344486e-07,0.853
5370,47tuc,14.082,1.584857195586678e-07,0.785
5372,47tuc,14.084000000000001,1.581940467974376e-07,0.797
5374,47tuc,14.084000000000001,1.581940467974376e-07,0.8490000000000001
5376,47tuc,14.085,1.5804841177355736e-07,0.878
5378,47tuc,14.089,1.5746721117493045e-07,0.861
5380,47tuc,14.091,1.5717741284852943e-07,0.772
5382,47tuc,14.094000000000001,1.5674371505876256e-07,0.774
5384,47tuc,14.095,1.5659941522480684e-07,0.805
5386,47tuc,14.1,1.5587990626885415e-07,0.818
5388,47tuc,14.100999999999999,1.5573640166592188e-07,0.804
5390,47tuc,14.100999999999999,1.5573640166592188e-07,0.8079999999999999
5392,47tuc,14.102,1.5559302917476421e-07,0.818
5394,47tuc,14.105,1.551637031562656e-07,0.677
5396,47tuc,14.106,1.5502085789709194e-07,0.8490000000000001
5398,47tuc,14.109000000000002,1.5459311066408128e-07,0.8420000000000001
5400,47tuc,14.114,1.538828198402507e-07,0.7809999999999999
5402,47tuc,14.115,1.5374115377508668e-07,0.799
5404,47tuc,14.12,1.5303477733759552e-07,0.843
5406,47tuc,14.124,1.5247201366789912e-07,0.83
5408,47tuc,14.130999999999998,1.5149215236153999e-07,0.848
5410,47tuc,14.140999999999998,1.5010326396037613e-07,0.8909999999999999
5412,47tuc,14.145999999999999,1.4941360210830455e-07,0.83
5414,47tuc,14.155999999999999,1.4804376997040553e-07,1.061
5416,47tuc,14.207,1.4125054623746428e-07,0.982
5418,47tuc,14.228,1.3854476998817938e-07,0.977
5420,47tuc,14.242,1.3676977610654243e-07,1.001
5422,47tuc,14.267000000000001,1.336565159131059e-07,0.9590000000000001
5424,47tuc,14.272,1.3304242000423625e-07,0.997
5426,47tuc,14.292,1.3061412217355988e-07,1.07
5428,47tuc,14.299000000000001,1.297747305940615e-07,1.054
5430,47tuc,14.345999999999998,1.242768211436375e-07,0.89
5432,47tuc,14.357000000000001,1.2302408283423924e-07,0.917
5434,47tuc,14.389000000000001,1.194510951996871e-07,0.971
5436,47tuc,14.43,1.150244422279152e-07,0.67
5438,47tuc,14.437999999999999,1.1418002558296822e-07,0.9209999999999999
5440,47tuc,14.466,1.1127308682652166e-07,1.17
5442,47tuc,14.477,1.1015142908383253e-07,0.9420000000000001
5444,47tuc,14.484000000000002,1.094435409894669e-07,0.938
5446,47tuc,14.502,1.076440764421955e-07,0.968
5448,47tuc,14.509,1.0695230184811013e-07,0.9209999999999999
5450,47tuc,14.512,1.0665718961740632e-07,0.948
5452,47tuc,14.515999999999998,1.0626497294304781e-07,1.11
5454,47tuc,14.529000000000002,1.050002023406344e-07,0.973
5456,47tuc,14.536,1.0432541860191138e-07,0.94
5458,47tuc,14.545,1.0346420760085092e-07,0.94
5460,47tuc,14.547,1.032737949175918e-07,0.94
5462,47tuc,14.559000000000001,1.021386553228718e-07,1.088
5464,47tuc,14.569,1.0120224250229309e-07,0.9520000000000001
5466,47tuc,14.574000000000002,1.0073726043490543e-07,0.9309999999999999
5468,47tuc,14.599,9.844420043410887e-08,0.902
5470,47tuc,14.61,9.7451860751721e-08,0.9840000000000001
5472,47tuc,14.634,9.532133935769163e-08,0.917
5474,47tuc,14.649000000000001,9.401348155138211e-08,0.993
5476,47tuc,14.661,9.298012720014916e-08,0.934
5478,47tuc,14.679,9.145135317671397e-08,0.9109999999999999
5480,47tuc,14.687000000000001,9.077999113113803e-08,0.92
5482,47tuc,14.700999999999999,8.961694521575243e-08,0.9570000000000001
5484,47tuc,14.705,8.928739162124264e-08,0.9079999999999999
5486,47tuc,14.719000000000001,8.814346844140302e-08,0.835
5488,47tuc,14.722999999999999,8.781933334856472e-08,0.905
5490,47tuc,14.734000000000002,8.693409471613777e-08,1.037
5492,47tuc,14.735999999999999,8.677410359819053e-08,0.905
5494,47tuc,14.758,8.503351583304022e-08,0.982
5496,47tuc,14.762,8.472081714944731e-08,0.9109999999999999
5498,47tuc,14.775,8.371246608158927e-08,0.985
5500,47tuc,14.815,8.068450444857302e-08,0.929
5502,47tuc,14.818,8.04618726428092e-08,0.9470000000000001
5504,47tuc,14.828,7.97241937603888e-08,0.912
5507,47tuc,14.852,7.798123986378759e-08,0.79
5509,47tuc,14.872,7.655792183042146e-08,0.925
5511,47tuc,14.887,7.550750776390246e-08,0.875
5513,47tuc,14.929,7.264239193200601e-08,0.893
5515,47tuc,14.94,7.191014028264709e-08,0.914
5517,47tuc,14.944,7.164570094971964e-08,0.938
5519,47tuc,14.993,6.848416043129003e-08,0.937
5536,47tuc,15.104000000000001,6.182870295933568e-08,0.937
5557,47tuc,15.235999999999999,5.475075797596346e-08,0.9109999999999999
5570,47tuc,15.305,5.137953103952614e-08,0.888
5592,47tuc,15.434000000000001,4.5623661457089505e-08,0.8809999999999999
5619,47tuc,15.593,3.940852098716932e-08,0.861
5635,47tuc,15.662,3.698197800605789e-08,0.8640000000000001
5644,47tuc,15.713,3.528500115433318e-08,0.917
5665,47tuc,15.783,3.3081876496638576e-08,0.885
5678,47tuc,15.86,3.0816984219700705e-08,0.889
5696,47tuc,15.91,2.9429991453353725e-08,0.847
5730,47tuc,16.012,2.6791074742290734e-08,0.833
5756,47tuc,16.094,2.4842204695769745e-08,0.818
5809,47tuc,16.249000000000002,2.15372443810141e-08,0.8190000000000001
5835,47tuc,16.294,2.066284586025792e-08,0.802
5854,47tuc,16.335,1.9897116187543984e-08,0.847
5863,47tuc,16.366,1.9337046250463048e-08,0.843
5883,47tuc,16.416,1.8466735804745798e-08,0.8220000000000001
5908,47tuc,16.480999999999998,1.739362633622597e-08,0.8240000000000001
5921,47tuc,16.500999999999998,1.7076156877248072e-08,0.7879999999999999
5969,47tuc,16.592,1.570327137480447e-08,0.804
5986,47tuc,16.618,1.5331693761463465e-08,0.74
6016,47tuc,16.654,1.483167279991325e-08,0.7709999999999999
6031,47tuc,16.689,1.4361180343468273e-08,0.8079999999999999
6067,47tuc,16.737000000000002,1.3740107670947323e-08,0.797
6123,47tuc,16.803,1.2929750244439822e-08,0.782
6181,47tuc,16.875,1.210013277815488e-08,0.754
6222,47tuc,16.915,1.166245916128942e-08,0.735
6239,47tuc,16.932000000000002,1.1481275440665898e-08,0.767
6283,47tuc,16.974,1.104562096060716e-08,0.743
6349,47tuc,17.032,1.0471047651518119e-08,0.6970000000000001
6385,47tuc,17.062,1.018568253305055e-08,0.738
6437,47tuc,17.1,9.83535717172175e-09,0.69
6509,47tuc,17.146,9.427360961547591e-09,0.664
6553,47tuc,17.171,9.21276802701007e-09,0.6579999999999999
6586,47tuc,17.19,9.052950296750758e-09,0.687
6656,47tuc,17.233,8.701420086094457e-09,0.614
6745,47tuc,17.283,8.309791670078203e-09,0.617
6824,47tuc,17.32,8.031379282443284e-09,0.623
6908,47tuc,17.368,7.684049183128386e-09,0.575
6955,47tuc,17.387,7.550750776390246e-09,0.5710000000000001
7118,47tuc,17.484,6.905420599322325e-09,0.5479999999999999
